source,start,end,label,chapter,match_out_note,match_in_note
"/Users/lakaayshavanewijk/Downloads/human_vs_nature_human_vs_nature;_and_so_on_(2022)_v1 (1080p).mp4",00:00:49.800,00:00:54.800,human-anchor-open,wonder,"Subject exits frame with rightward motion","Opening anchor shot; establish lyrical tone"
"/Users/lakaayshavanewijk/Downloads/reflections_on_dutch_capitalism_(2022)_v2 (720p).mp4",00:01:39.200,00:01:45.000,reflections-shift,wonder,"Hold on high-contrast silhouette edge","Enter on matched edge geometry and luminance"
"/Users/lakaayshavanewijk/Downloads/no love, no mountains; existing horizontally.mp4",00:00:02.200,00:00:06.400,no-love-pivot,wonder,"Body line lands near frame center before cut","Start with center-weighted composition to continue gaze flow"
"/Users/lakaayshavanewijk/Downloads/VERSIE2_AFL2_LAKAAYSHA.mp4",00:00:39.200,00:00:42.200,afl2-wonder-bridge,wonder,"Downward movement resolves into stillness","Enter on same downward vector, close chapter with calm"
"/Users/lakaayshavanewijk/Downloads/CARLA_ THE RISE OF A SELFLESS HERO short experimental Documentary portrait.mp4",00:00:44.200,00:00:50.000,carla-tension-entry,tension,"Expression tightens; eye-line drifts left","Enter on leftward eye-line to begin pressure build"
"/Users/lakaayshavanewijk/Downloads/17. Februar 2023 (1).mp4",00:00:20.000,00:00:24.800,feb17-a-heat,tension,"Motion cadence accelerates mid-shot","Cut in on similar cadence for rhythmic escalation"
"/Users/lakaayshavanewijk/Downloads/17. Februar 2023.mp4",00:01:03.200,00:01:08.000,feb17-b-counter,tension,"Background contrast spikes before cut","Enter on matched contrast pulse"
"/Users/lakaayshavanewijk/Downloads/final_film (1080p).mp4",00:00:35.500,00:00:40.300,final-film-grit,tension,"Subject crosses axis to right","Enter on rightward directional match"
"/Users/lakaayshavanewijk/Downloads/VERSIE2_AFL1_LAKAAYSHA copy.mp4",00:00:22.300,00:00:26.100,afl1-tension-release-prep,tension,"Hold close framing with micro-movement","Enter with similarly tight framing to sustain tension"
"/Users/lakaayshavanewijk/Downloads/7+1 (2160p).mp4",00:01:27.800,00:01:32.800,seven-plus-one-lift-a,release,"Wide gesture opens visual space","Major chapter lift on expanded space and breath"
"/Users/lakaayshavanewijk/Downloads/VERSIE2_AFL2_LAKAAYSHA.mp4",00:00:54.000,00:00:55.000,afl2-release-flash,release,"One-beat accent hit","Micro-cut accent to reset rhythm before payoff"
"/Users/lakaayshavanewijk/Downloads/7+1 (2160p).mp4",00:03:10.200,00:03:14.200,seven-plus-one-lift-b,release,"Head turn settles on center","Enter on center settle to keep continuity"
"/Users/lakaayshavanewijk/Downloads/final_film (1080p).mp4",00:00:56.000,00:00:57.000,final-film-breath,release,"Brief breath beat before close","Short decompression cut before callback"
"/Users/lakaayshavanewijk/Downloads/human_vs_nature_human_vs_nature;_and_so_on_(2022)_v1 (1080p).mp4",00:06:40.700,00:06:45.700,human-callback-close,release,"Final emotional hold","Callback close to opening anchor for editorial closure"
